"","ERR5236650_f_Aligned.sortedByCoord.out.tsv","ERR5236654_f_Aligned.sortedByCoord.out.tsv","ERR5236653_f_Aligned.sortedByCoord.out.tsv","ERR5236624_f_Aligned.sortedByCoord.out.tsv","ERR5236633_f_Aligned.sortedByCoord.out.tsv","ERR5236639_f_Aligned.sortedByCoord.out.tsv","ERR5236618_f_Aligned.sortedByCoord.out.tsv","ERR5236622_m_Aligned.sortedByCoord.out.tsv","ERR5236635_m_Aligned.sortedByCoord.out.tsv","ERR5236655_m_Aligned.sortedByCoord.out.tsv","ERR5236616_m_Aligned.sortedByCoord.out.tsv","ERR5236625_m_Aligned.sortedByCoord.out.tsv","ERR5236641_m_Aligned.sortedByCoord.out.tsv","ERR5236631_m_Aligned.sortedByCoord.out.tsv","ERR5236648_m_Aligned.sortedByCoord.out.tsv","ERR5236642_m_Aligned.sortedByCoord.out.tsv","ERR5236652_m_Aligned.sortedByCoord.out.tsv"
"PMPCB",2082,1566,1326,2020,1569,1212,852,557,725,1107,1204,1626,1076,1365,1206,1650,1435
"PMS1",1163,913,898,1010,973,622,432,297,450,806,880,842,872,738,1003,894,741
"PMS2",379,584,461,465,244,365,124,68,79,476,379,330,530,211,608,483,372
"PMS2CL",219,379,477,261,220,238,121,48,90,276,284,305,270,246,416,542,377
"PMS2P1",313,199,162,239,218,137,184,115,165,195,176,169,172,144,190,173,195
"PMS2P10",0,0,0,0,1,1,1,3,3,0,1,0,2,0,0,1,2
"PMS2P11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PMS2P2",0,7,14,0,2,0,4,0,1,1,3,1,14,11,1,2,4
"PMS2P3",370,278,274,325,209,229,175,173,190,242,225,236,279,148,267,355,270
"PMS2P4",103,95,111,137,107,76,76,50,56,96,93,103,80,99,101,95,83
"PMS2P5",52,10,16,87,48,7,16,13,25,46,4,27,20,10,12,33,19
"PMS2P6",4,7,1,4,3,1,2,2,3,6,3,3,3,0,7,1,5
"PMS2P7",7,7,2,3,2,2,0,0,0,5,5,3,2,0,3,0,2
"PMS2P9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMVK",1533,709,604,1553,1753,768,1347,2394,2328,650,778,995,478,1497,555,791,842
"PNCK",1839,880,2532,2255,1996,670,2203,1755,2960,1329,1604,1766,1105,1322,1291,1236,2193
"PNISR",9547,11285,11059,11302,7916,11598,2470,1489,2947,7570,9296,11381,11886,8457,12920,17480,8946
"PNKD",2116,1398,1366,2394,2246,1276,1496,1878,1956,918,1421,1601,1004,1976,1131,1329,1542
"PNKDP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNKP",1924,2022,1325,2230,1532,1287,901,941,1257,1493,1560,1205,1332,1052,1742,1140,1687
"PNLDC1",6,6,6,11,7,15,2,1,10,30,7,9,7,14,5,5,2
"PNLIP",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PNLIPP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNLIPRP1",1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
"PNLIPRP2",0,3,0,0,0,0,2,0,1,0,1,1,0,0,0,1,1
"PNLIPRP3",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
"PNMA1",6579,5437,4960,6361,5985,4110,1139,1072,1366,3652,3768,5698,4398,5300,3592,5214,3994
"PNMA2",1189,2442,2822,2490,1352,1410,445,1159,462,1696,1718,3527,1659,1337,2930,5104,1424
